hidden_units,lags,fold,MSE,MAE,lag
5,,5,6211.751953125,56.72081322748214,5.0
10,,5,6118.529296875,56.1135283941403,5.0
20,,5,6018.7001953125,55.16125086076558,5.0
50,,5,5913.75830078125,54.99735137719661,5.0
100,,5,4573.2890625,44.01650507450104,5.0
5,,5,4119.40576171875,46.33620374977588,5.0
10,,5,5280.8251953125,53.70126510068774,5.0
20,,5,2798.845703125,42.98403418421745,5.0
50,,5,4758.5390625,53.360366791635755,5.0
100,,5,11368.154296875,79.33633059948683,5.0
5,,5,6513.6064453125,50.21360169172287,5.0
10,,5,6001.90087890625,52.44396072819829,5.0
20,,5,6043.810546875,56.4459709334746,5.0
50,,5,32391.26171875,118.84764272332191,5.0
100,,5,32510.568359375,125.58315664350987,5.0
5,,5,2879.766357421875,46.17476077079773,5.0
10,,5,1827.2261962890625,34.34408545732498,5.0
20,,5,3519.765625,48.13010339736938,5.0
50,,5,25129.259765625,104.02697092294693,5.0
100,,5,15226.828125,90.59282171845436,5.0
5,,5,6357.99365234375,58.643511439859864,5.0
10,,5,4223.349609375,50.29879451990128,5.0
20,,5,6517.6845703125,63.07944827981293,5.0
50,,5,9542.1875,76.08915344536304,5.0
100,,5,458548.9375,357.4179538622499,5.0
5,,5,6952.17822265625,68.88866044599563,15.0
10,,5,6170.88330078125,60.70867112668231,15.0
20,,5,3173.918701171875,40.43213232457638,15.0
50,,5,6396.4033203125,65.8342421722412,15.0
100,,5,4177.1689453125,42.47586559891701,15.0
5,,5,5955.791015625,61.40690429318696,15.0
10,,5,11839397.0,2164.50171792984,15.0
20,,5,4947.8330078125,57.012264280319215,15.0
50,,5,7564.2197265625,67.90265821456909,15.0
100,,5,5293.06298828125,52.83473042607307,15.0
5,,5,5877.80078125,54.680377958528695,15.0
10,,5,4241.8740234375,54.93825057536364,15.0
20,,5,6116.43701171875,57.945481531620025,15.0
50,,5,3396.091064453125,60.55079965598881,15.0
100,,5,3196.54833984375,62.29419519513846,15.0
5,,5,888.9002685546875,26.964813556671142,15.0
10,,5,2783.193359375,46.09660964395851,15.0
20,,5,6348.55322265625,58.724870388507846,15.0
50,,5,1188.444091796875,28.75938533782959,15.0
100,,5,1549.5821533203125,35.01721529483795,15.0
5,,5,3756.95703125,53.525221662931145,15.0
10,,5,6202.236328125,61.17304247140884,15.0
20,,5,3146.90771484375,50.099963555336,15.0
50,,5,5276.87451171875,64.4375639116764,15.0
100,,5,3691.335205078125,53.999860038757326,15.0
5,,5,4302.7958984375,58.61414959863744,25.0
10,,5,2857.156494140625,43.975262712895436,25.0
20,,5,2749.14111328125,42.07356072052148,25.0
50,,5,7873.0986328125,71.22025256310538,25.0
100,,5,1952.041259765625,31.941135648517996,25.0
5,,5,2474.795654296875,46.328149631883974,25.0
10,,5,3639.0400390625,53.41886445004824,25.0
20,,5,4845.693359375,57.374170029343624,25.0
50,,5,5241.83544921875,65.13420173449394,25.0
100,,5,3365.330078125,54.743641772448896,25.0
5,,5,7476.2421875,60.656038415669066,25.0
10,,5,7892.53662109375,54.85584885392884,25.0
20,,5,11221.0146484375,68.56039392564111,25.0
50,,5,11554.6142578125,68.5654346527511,25.0
100,,5,12581.9072265625,83.29799648588383,25.0
5,,5,1706.7259521484375,36.08179542095076,25.0
10,,5,3855.96044921875,46.18010015232656,25.0
20,,5,1585.1678466796875,31.249106676150593,25.0
50,,5,1096.589111328125,28.60167378018672,25.0
100,,5,981.529052734375,27.53393045810396,25.0
5,,5,4196.96484375,48.48582785150415,25.0
10,,5,4049.04736328125,46.75966339931137,25.0
20,,5,5229.1826171875,49.28274123471066,25.0
50,,5,4455.88916015625,50.694466259039054,25.0
100,,5,4807.09912109375,49.92945401281373,25.0
5,,5,4294.27001953125,60.074186302290435,35.0
10,,5,3367.391845703125,49.51692013717566,35.0
20,,5,1022.3712768554688,33.70281717026414,35.0
50,,5,1060.8853759765625,31.521519216560048,35.0
100,,5,1660.0146484375,35.218391923744534,35.0
5,,5,4103.45703125,45.56351281717214,35.0
10,,5,6331.55810546875,50.958635009252106,35.0
20,,5,7479.92236328125,52.87161964401456,35.0
50,,5,7768.6328125,54.49113304712206,35.0
100,,5,7389.90283203125,52.530999103398166,35.0
5,,5,6696.65380859375,55.695741831751775,35.0
10,,5,7396.90283203125,55.487791358993526,35.0
20,,5,7246.0498046875,55.61357219026404,35.0
50,,5,8999.53515625,60.584949801816194,35.0
100,,5,8396.2451171875,58.799775486867105,35.0
5,,5,3212.37451171875,38.27599903549277,35.0
10,,5,2585.486083984375,30.565442494700253,35.0
20,,5,2437.8466796875,30.60027262946636,35.0
50,,5,1889.9366455078125,27.218503697462413,35.0
100,,5,2234.837646484375,28.717952558980187,35.0
5,,5,6509.146484375,59.45684403704233,35.0
10,,5,4886.2119140625,55.100246836825036,35.0
20,,5,5086.27001953125,57.879193032656374,35.0
50,,5,5056.4970703125,53.29124109906479,35.0
100,,5,5778.21533203125,56.05448537308632,35.0
5,,5,8517.4091796875,82.393158220637,50.0
10,,5,3470.471923828125,45.23434401156479,50.0
20,,5,2730.387939453125,32.585629320871135,50.0
50,,5,2005.042724609375,33.4206981632518,50.0
100,,5,2285.68359375,34.90352902121821,50.0
5,,5,6257.4033203125,51.177541696463926,50.0
10,,5,6866.740234375,53.69009732011283,50.0
20,,5,8160.7451171875,57.025077190425584,50.0
50,,5,7483.1552734375,53.63507789257821,50.0
100,,5,7301.99658203125,53.51188677367741,50.0
5,,5,6515.330078125,71.24365825532134,50.0
10,,5,4928.365234375,64.2694803435727,50.0
20,,5,4583.142578125,62.11417747699653,50.0
50,,5,4482.7587890625,60.89904678482924,50.0
100,,5,5248.82177734375,61.93484942255918,50.0
5,,5,4268.38134765625,59.11783516407013,50.0
10,,5,2407.188232421875,30.01131904686587,50.0
20,,5,1799.7659912109375,28.888177557335005,50.0
50,,5,1761.36083984375,30.954738099158966,50.0
100,,5,1921.0594482421875,28.755886696052023,50.0
5,,5,7727.24658203125,52.28689877672374,50.0
10,,5,9522.869140625,57.99986606686688,50.0
20,,5,8828.8876953125,55.203668396228565,50.0
50,,5,8448.2880859375,54.621607191674926,50.0
100,,5,9354.326171875,56.7554650531251,50.0
